,Date,Open,High,Low,Close,Volume
0,1/2/1998,13.63,16.25,13.5,16.25,6411700
1,1/5/1998,16.5,16.56,15.19,15.88,5820300
2,1/6/1998,15.94,20,14.75,18.94,16182800
3,1/7/1998,18.81,19,17.31,17.5,9300200
4,1/8/1998,17.44,18.62,16.94,18.19,6910900
5,1/9/1998,18.12,19.37,17.5,18.19,7915600
6,1/12/1998,17.44,18.62,17.12,18.25,4610700
7,1/13/1998,18.62,19.62,18.5,19.5,5686200
8,1/14/1998,19.87,19.94,19.25,19.75,5261300
9,1/15/1998,19.19,19.75,18.62,19.19,4993500
10,1/16/1998,19.44,19.44,18.69,18.81,2199600
11,1/20/1998,19.06,19.31,18.62,19.06,2156800
12,1/21/1998,18.75,19.06,18.56,18.91,1698300
13,1/22/1998,18.69,19.75,18.62,19.25,2944000
14,1/23/1998,19.37,19.69,19.25,19.5,2081800
15,1/26/1998,19.44,19.56,18.81,19.44,1307500
16,1/27/1998,19.19,19.69,19,19.12,1002100
17,1/28/1998,19.19,19.37,18.62,19.19,1349300
18,1/29/1998,18.94,19.12,18.5,18.5,1891800
19,1/30/1998,18.31,18.87,18.25,18.31,1450400
20,2/2/1998,18.5,18.5,17.37,17.69,5685200
21,2/3/1998,17.69,18.62,17.69,18.31,3594800
22,2/4/1998,18.06,18.5,18,18.25,1519600
23,2/5/1998,18.25,18.5,18,18.31,2127400
24,2/6/1998,18.37,18.69,18.25,18.5,1806600
25,2/9/1998,18.37,19.5,18.37,19.19,4416700
26,2/10/1998,19.12,19.56,19.06,19.44,3768000
27,2/11/1998,19.5,19.5,18.87,19,1889900
28,2/12/1998,19.12,19.44,19.06,19.37,1819200
29,2/13/1998,19.19,19.87,19,19.5,1857100
30,2/17/1998,19.5,19.75,19.5,19.62,1631700
31,2/18/1998,19.56,20.75,19.56,20.56,4416000
32,2/19/1998,20.87,20.94,20,20.44,3568400
33,2/20/1998,20.5,20.56,19.81,20,2905500
34,2/23/1998,20.12,21.62,20,21.25,4263300
35,2/24/1998,21.31,21.37,20.75,21.31,4076700
36,2/25/1998,21.31,22.75,20.94,22.31,6363100
37,2/26/1998,22.31,23.56,21.87,23.5,5313700
38,2/27/1998,23.31,23.87,22.56,23.62,4639300
39,3/2/1998,23.56,23.56,22.25,22.75,3575400
40,3/3/1998,21.87,23.19,21.62,23.12,2982800
41,3/4/1998,22.87,24.75,22.87,24.44,7302000
42,3/5/1998,23.25,24.25,23.12,24.06,6027900
43,3/6/1998,23.87,24.5,23.37,24.44,5950600
44,3/9/1998,23.75,24.31,22.5,22.75,5133300
45,3/10/1998,23,24.5,22.94,24.06,6365200
46,3/11/1998,25.12,26.19,24.56,26.12,10842300
47,3/12/1998,26.12,27,25.56,27,6646100
48,3/13/1998,27.25,27.25,26.25,27.12,5055000
49,3/16/1998,27.12,27.25,26.19,26.69,3592500
50,3/17/1998,26.5,26.69,25.87,26.34,3663000
51,3/18/1998,26,26.94,26,26.94,2473200
52,3/19/1998,26.87,26.94,26.56,26.75,1429100
53,3/20/1998,26.69,26.87,26,26.37,1923900
54,3/23/1998,25.94,26.25,24.62,26.12,3703000
55,3/24/1998,26.37,28,26.25,28,6035100
56,3/25/1998,27.62,27.75,26.37,27.16,3458700
57,3/26/1998,26.75,27,26.44,26.56,1812200
58,3/27/1998,26.62,27.31,26.37,26.94,2282100
59,3/30/1998,26.75,27.5,26.75,27.44,2238400
60,3/31/1998,27.44,27.81,27.25,27.5,2383000
61,4/1/1998,27.44,27.81,27.06,27.5,1668600
62,4/2/1998,27.31,27.44,26.94,27.31,1734900
63,4/3/1998,27.12,27.25,26.81,27.06,1813100
64,4/6/1998,27,27,26.19,26.25,3103500
65,4/7/1998,25.81,26,24.87,25.5,2613400
66,4/8/1998,25.25,25.37,24.69,25,2010700
67,4/9/1998,25.06,25.87,25,25.62,1520600
