,Date,Open,High,Low,Close,Volume
3999,11/22/2013,519.52,522.16,518.53,519.8,7990200
4000,11/25/2013,521.02,525.87,521,523.74,8189700
4001,11/26/2013,524.12,536.14,524,533.4,14335100
4002,11/27/2013,536.3098,546,533.4,545.96,12980300
4003,11/29/2013,549.48,558.33,547.81,556.07,11361700
4004,12/2/2013,558,564.3299,550.82,551.23,16876600
4005,12/3/2013,558.3,566.38,557.68,566.322,16106000
4006,12/4/2013,565.5,569.19,560.82,565,13493200
4007,12/5/2013,572.65,575.1358,566.41,567.901,15985000
4008,12/6/2013,565.79,566.75,559.57,560.02,12298300
4009,12/9/2013,560.9001,569.58,560.9001,566.43,11446200
4010,12/10/2013,563.58,567.88,561.2,565.55,9938200
4011,12/11/2013,567,570.97,559.69,561.36,12847100
4012,12/12/2013,562.1415,565.34,560.03,560.54,9367500
4013,12/13/2013,562.85,562.88,553.67,554.43,11886500
4014,12/16/2013,555.02,562.6389,555.01,557.5,10092600
4015,12/17/2013,555.81,559.44,553.375,554.99,8210800
4016,12/18/2013,549.7,551.45,538.8,550.77,20209400
4017,12/19/2013,549.5,550,543.7301,544.46,11439600
4018,12/20/2013,545.43,551.61,544.8175,549.02,15586200
4019,12/23/2013,568,570.72,562.76,570.09,17903800
4020,12/24/2013,569.89,571.88,566.03,567.67,5984100
4021,12/26/2013,568.1,569.5,563.376,563.9,7286000
4022,12/27/2013,563.82,564.41,559.5,560.09,8067300
4023,12/30/2013,557.46,560.09,552.321,554.52,9058200
4024,12/31/2013,554.17,561.28,554,561.02,7967300
4025,1/2/2014,555.68,557.03,552.021,553.13,8381600
4026,1/3/2014,552.86,553.7,540.43,540.98,14016700
4027,1/6/2014,537.45,546.8,533.6,543.93,14736100
4028,1/7/2014,544.32,545.96,537.925,540.0375,11328900
4029,1/8/2014,538.81,545.56,538.69,543.46,9233200
4030,1/9/2014,546.8,546.86,535.3501,536.519,9969600
4031,1/10/2014,539.83,540.8,531.11,532.94,10892000
4032,1/13/2014,529.91,542.5,529.88,535.73,13517600
