Date,Price,Open,High,Low,Vol.,Change %
"Dec 12, 2019",56.9,57.5,57.5,56.1,338.26K,-1.04%
"Dec 11, 2019",57.5,57.8,58,57.4,69.46K,-0.52%
"Dec 10, 2019",57.8,58.5,58.5,57.5,378.45K,0.52%
"Dec 09, 2019",57.5,58.4,58.4,57.4,804.39K,-0.52%
"Dec 08, 2019",57.8,58.5,58.8,57.6,103.63K,-1.20%
"Dec 05, 2019",58.5,58.9,59,58.3,214.60K,0.00%
"Dec 04, 2019",58.5,58.8,58.8,58.2,839.48K,0.69%
"Dec 03, 2019",58.1,59.8,59.8,57.9,595.68K,-1.69%
"Dec 02, 2019",59.1,59.2,60.7,58.5,1.02M,-0.34%
"Dec 01, 2019",59.3,57.7,59.5,57.7,162.74K,2.24%
"Nov 28, 2019",58,58.4,59,57.9,1.08M,-0.51%
"Nov 27, 2019",58.3,59.7,59.7,57.8,354.49K,-1.19%
"Nov 26, 2019",59,60,60.3,58.5,626.70K,-0.84%
"Nov 25, 2019",59.5,60.2,60.4,59,1.78M,-1.00%
"Nov 24, 2019",60.1,60.8,60.9,59.2,202.21K,-0.99%
"Nov 21, 2019",60.7,60.2,61.1,60.1,322.83K,0.83%
"Nov 20, 2019",60.2,61.2,61.9,60,462.17K,-1.63%
"Nov 19, 2019",61.2,59.9,61.7,59.5,1.12M,2.51%
"Nov 18, 2019",59.7,59.7,60,58.4,326.98K,1.36%
"Nov 17, 2019",58.9,58.3,59.3,58,190.86K,1.03%
"Nov 14, 2019",58.3,59,60,57.4,611.24K,-0.51%
"Nov 13, 2019",58.6,60,60.2,58.5,619.00K,-1.18%
"Nov 12, 2019",59.3,60.3,60.3,58.5,734.85K,-0.67%
"Nov 11, 2019",59.7,57.9,60,57.5,410.74K,3.11%
"Nov 07, 2019",57.9,56.9,58.1,56.5,529.48K,1.05%
"Nov 06, 2019",57.3,54.9,57.7,54.7,1.85M,4.75%
"Nov 05, 2019",54.7,52,55.1,52,2.89M,5.19%
"Nov 04, 2019",52,52,52.1,51,2.12M,-0.38%
"Nov 03, 2019",52.2,51,52.6,50.5,418.84K,3.16%
